State,City,Crime_Type,Date,Time,Latitude,Longitude,Victim_Age,Victim_Gender
Maharashtra,Nagpur,Assault,2022-11-03,16:12:00,21.10693,79.09184,20.0,Female
Telangana,Warangal,Assault,2021-07-11,04:55:00,17.97998,79.62782,44.0,Male
Tamil Nadu,Chennai,Vehicle Theft,2024-01-24,19:16:00,13.07745,80.24957,49.0,Male
Gujarat,Ahmedabad,Fraud,2024-10-06,08:28:00,23.03396,72.58338,55.0,Female
Gujarat,Surat,Vandalism,2022-04-25,08:04:00,21.20387,72.82758,40.0,Female
Tamil Nadu,Chennai,Cybercrime,2021-12-12,03:49:00,13.04786,80.28629,57.0,Female
Tamil Nadu,Coimbatore,Assault,2024-04-07,16:38:00,11.03737,76.95703,22.0,Female
Telangana,Warangal,Robbery,2023-04-22,13:27:00,17.95883,79.58575,28.0,Male
Tamil Nadu,Coimbatore,Vehicle Theft,2024-07-03,18:34:00,11.03459,76.97634,49.0,Female
Karnataka,Mysuru,Assault,2021-12-06,06:24:00,12.25673,76.605,60.0,Male
Telangana,Hyderabad,Burglary,2022-08-04,13:30:00,17.40377,78.47772,58.0,Male
Telangana,Hyderabad,Theft,2021-02-03,18:43:00,17.39961,78.47292,64.0,Female
Gujarat,Ahmedabad,Robbery,2022-06-05,09:14:00,23.02061,72.52038,31.0,Female
Maharashtra,Pune,Vandalism,2021-05-25,11:41:00,18.50866,73.89498,29.0,Female
Karnataka,Mysuru,Assault,2023-04-03,02:26:00,12.32021,76.58718,64.0,Female
Karnataka,Mysuru,Theft,2023-06-24,00:45:00,12.27912,76.64598,31.0,Female
Delhi,Dwarka,Cybercrime,2023-02-21,09:47:00,28.63278,77.07105,17.0,Female
Delhi,Rohini,Vehicle Theft,2021-10-05,07:55:00,28.73431,77.0257,48.0,Female
Karnataka,Bengaluru,Vandalism,2022-06-13,18:03:00,13.0309,77.68142,19.0,Male
Gujarat,Ahmedabad,vehicle theft,2023-10-08,22:19:00,23.01054,72.55264,30.0,Male
Karnataka,Mysuru,Domestic Violence,2023-02-09,,,,,Female
Uttar Pradesh,Noida,Theft,2024-08-25,23:13:00,28.50605,77.36924,45.0,Male
Karnataka,Mysuru,Fraud,2024-04-06,22:38:00,12.2903,76.63778,31.0,Female
Gujarat,Ahmedabad,Theft,2021-04-12,23:59:00,23.02818,72.61837,61.0,Female
Delhi,Rohini,Vehicle Theft,2022-04-01,18:20:00,28.77919,77.07986,51.0,Female
Uttar Pradesh,Kanpur,Kidnapping,2022-12-07,00:07:00,26.50071,80.32561,56.0,Male
Karnataka,Mysuru,Domestic Violence,2021-03-08,07:59:00,12.28316,76.63885,57.0,Male
Delhi,Rohini,Burglary,2021-04-04,00:40:00,28.68449,77.06554,66.0,Female
Telangana,Warangal,Theft,2024-10-01,17:05:00,17.97892,79.57947,55.0,Female
Karnataka,Bengaluru,Cybercrime,2022-04-26,12:17:00,12.95012,77.58728,47.0,Female
Delhi,Dwarka,Theft,2023-02-21,10:00:00,28.64831,77.0204,68.0,Female
Telangana,Hyderabad,Fraud,2022-11-01,15:06:00,17.36313,78.46738,40.0,Male
